Position,Allergen,Code,Raw_Values,Processed_Mean,Corrected_Signal,Concentration_IU_ml,Units,Level,Classification
1,"D1 - Клещевой аллерген домашней пыли / Dermatophagoides pteronyssinus",D1,"17187.3047;231.5268;239.0823;711.9712",711.97120,364.38890,1.417068,МЕ/мл,3,Средний
2,"E1 - Эпителий кошки",E1,"446.8601;473.3045;508.8601;501.5268",482.63788,135.05558,0.525216,МЕ/мл,2,Низкий
3,"E5 - Перхоть собаки",E5,"12772.8604;12924.415;13549.5264;14109.749",13339.13770,12991.55540,50.522715,МЕ/мл,5,Очень высокий
4,"M6 - Alternaria alternata (Плесень)",M6,"832.8601;833.3046;881.0823;959.749",876.74900,529.16670,2.057870,МЕ/мл,3,Средний
5,"T2 - Ольха серая / Alnus incana",T2,"278.1934;283.749;285.749;310.4156",289.52675,0.00000,0.000000,МЕ/мл,0,Клинически не значимый
6,"T3 - Береза белая / Betula verrucosa",T3,"993.0823;1050.86;1239.9712;1356.86",1160.19337,812.61107,3.160154,МЕ/мл,3,Средний
7,"T4 - Лещина / орешник / Corylus avellana",T4,"639.3046;767.5268;735.0823;748.8601",722.69345,375.11115,1.458766,МЕ/мл,3,Средний
8,"T14 - Тополь / Populus deltoides",T14,"779.5268;919.0823;884.6379;962.4156",886.41565,538.83335,2.095463,МЕ/мл,3,Средний
9,"W1 - Амброзия полыннолистная / Ambrosia elatior",W1,"853.749;985.749;1142.6378;1128.1934",1027.58230,680.00000,2.644444,МЕ/мл,3,Средний
10,"W6 - Полынь обыкновенная / Artemisia vulgaris",W6,"449.3045;490.4156;500.8601;537.3046",494.47120,146.88890,0.571235,МЕ/мл,2,Низкий
11,"W15 - Лебеда / Atriplex lentiformis",W15,"481.749;495.5268;514.6379;499.0823",497.74900,150.16670,0.583982,МЕ/мл,2,Низкий
12,"G3 - Ежа сборная / Dactylis glomerata",G3,"310.8601;264.8601;277.9712;22703.75",284.56380,0.00000,0.000000,МЕ/мл,0,Клинически не значимый
13,"G4 - Овсянница луговая / Festuca elatior",G4,"25701.3047;26361.75;25213.3047;27168.6387",26111.24952,25763.66723,100.192039,МЕ/мл,6,Исключительно высокий
14,"G5 - Райграс пастбищный / Lolium perenne",G5,"13448.6377;14479.5264;15531.3047;16658.6387",15029.52687,14681.94457,57.096451,МЕ/мл,5,Очень высокий
15,"G6 - Тимофеевка луговая / Phleum pratense",G6,"20541.3047;20753.75;20425.5273;22391.5273",21028.02733,20680.44503,80.423953,МЕ/мл,6,Исключительно высокий
16,"G8 - Мятлик луговой / Poa pratensis",G8,"8518.1934;8425.082;8616.6377;9005.082",8641.24878,8293.66647,32.253147,МЕ/мл,5,Очень высокий
17,"G13 - Бухарник шерстистый / Holcus lanatus",G13,"19569.5273;18416.8613;22903.5273;23874.1934",21191.02733,20843.44503,81.057842,МЕ/мл,6,Исключительно высокий
18,"Bet v1 - Береза, рекомбинантный компонент Bet v1",Bet v1,"4088.4158;4293.9712;4843.5264;5133.3042",4589.80440,4242.22210,16.497530,МЕ/мл,4,Высокий
19,"Bet v2 - Береза, рекомбинантный компонент Bet v2",Bet v2,"346.4156;379.5268;514.6379;486.1934",431.69342,84.11112,0.327099,МЕ/мл,0,Клинически не значимый
20,"Bet v4 - Береза, рекомбинантный компонент Bet v4",Bet v4,"326.6379;317.749;343.5268;745.3046",329.30457,0.00000,0.000000,МЕ/мл,0,Клинически не значимый
