position,group,name,mean_signal,background_mean,signal_minus_bg,concentration_ME_per_ml,class
1,D1,Клещевой аллерген домашней пыли / Dermatophagoides pterоnyssinus,487.42,6745.97,-6258.56,0.0,0
2,E1,Эпителий кошки,13236.97,6745.97,6491.0,25.243,4
3,E5,Перхоть собаки,857.19,6745.97,-5888.78,0.0,0
4,M6,Alternaria alternata,284.75,6745.97,-6461.22,0.0,0
5,T2,Ольха серая / Alnus incana,1145.42,6745.97,-5600.56,0.0,0
6,T3,Береза белая / Betula verrucosa,741.97,6745.97,-6004.0,0.0,0
7,T4,Лещина / орешник / Corylus avellana,901.86,6745.97,-5844.11,0.0,0
8,T14,Тополь / Populus deltoides,1056.97,6745.97,-5689.0,0.0,0
9,W1,Амброзия полыннолистная / Ambrosia elatior (A. artemisiifolia),495.64,6745.97,-6250.33,0.0,0
10,W6,Полынь обыкновенная (чернобыльник) / Artemisia vulgaris,497.3,6745.97,-6248.67,0.0,0
11,W15,Лебеда / Atriplex lentiformis,456.3,6745.97,-6289.67,0.0,0
12,G3,Ежа сборная / Dactylis glomerata,26031.53,6745.97,19285.56,74.999,5
13,G4,Овсянница луговая / Festuca elatior,15005.42,6745.97,8259.44,32.12,4
14,G5,Райграс патбищный (плевел) / Lolium perenne,20647.53,6745.97,13901.56,54.062,5
15,G6,Тимофеевка луговая / Phleum pratense,8567.42,6745.97,1821.44,7.083,3
16,G8,Мятлик луговой / Poa pratensis,21236.53,6745.97,14490.56,56.352,5
17,G13,Бухарник шерстистый / Holcus lanatus,4568.75,6745.97,-2177.22,0.0,0
18,RT301,"Береза, рекомбининтный компонент Bet v1",432.86,6745.97,-6313.11,0.0,0
19,RT302,"Береза, рекомбинантный компонент Bet v2",335.08,6745.97,-6410.89,0.0,0
20,RT304,"Береза, рекомбинантный компонент Bet v4",358.3,6745.97,-6387.67,0.0,0
