Аллерген,Средний_сигнал,Сигнал_после_вычета_фона,Концентрация,Единицы,Уровень,Классификация
D1 - Клещевой аллерген домашней пыли,13296.94,7142.47,27.74,МЕ/мл,4,Очень высокий
E1 - Эпителий кошки,14184.33,8029.86,31.18,МЕ/мл,4,Очень высокий
E5 - Перхоть собаки,10952.39,4797.92,18.63,МЕ/мл,4,Очень высокий
M6 - Alternaria alternata,4465.39,0.0,0.0,МЕ/мл,0,Клинически не значимый
T2 - Ольха серая,11175.61,5021.14,19.5,МЕ/мл,4,Очень высокий
T3 - Береза белая,2656.25,0.0,0.0,МЕ/мл,0,Клинически не значимый
T4 - Лещина/орешник,659.05,0.0,0.0,МЕ/мл,0,Клинически не значимый
T14 - Тополь,730.44,0.0,0.0,МЕ/мл,0,Клинически не значимый
W1 - Амброзия полыннолистная,423.36,0.0,0.0,МЕ/мл,0,Клинически не значимый
W6 - Полынь обыкновенная,3626.39,0.0,0.0,МЕ/мл,0,Клинически не значимый
W15 - Лебеда,403.8,0.0,0.0,МЕ/мл,0,Клинически не значимый
