Аллерген,Средний_сигнал,Сигнал_после_вычета_фона,Концентрация_МЕ_мл,Единицы,Уровень,Классификация
D1 - Клещевой аллерген домашней пыли,13126.68,6972.2,27.11,МЕ/мл,4,Очень высокий
E1 - Эпителий кошки,14007.19,7852.72,30.54,МЕ/мл,4,Очень высокий
E5 - Перхоть собаки,10732.45,4577.98,17.8,МЕ/мл,3,Высокий
M6 - Alternaria alternata,4406.64,0.0,0.0,МЕ/мл,0,Клинически не значимый
T2 - Ольха серая,10756.27,4601.8,17.9,МЕ/мл,3,Высокий
T3 - Береза белая,2579.56,0.0,0.0,МЕ/мл,0,Клинически не значимый
T4 - Лещина/орешник,660.6,0.0,0.0,МЕ/мл,0,Клинически не значимый
T14 - Тополь,730.53,0.0,0.0,МЕ/мл,0,Клинически не значимый
W1 - Амброзия полыннолистная,423.08,0.0,0.0,МЕ/мл,0,Клинически не значимый
W6 - Полынь обыкновенная,3589.34,0.0,0.0,МЕ/мл,0,Клинически не значимый
W15 - Лебеда,400.97,0.0,0.0,МЕ/мл,0,Клинически не значимый
