Аллерген,Средний_сигнал,Сигнал_после_вычета_фона,Концентрация_МЕ_мл,Единицы,Уровень,Классификация
D1 - Клещевой аллерген домашней пыли / Dermatophagoides pterоnyssinus,487.41565,133.22225,0.518087,МЕ/мл,1,Очень низкий
E1 - Эпителий кошки,13236.97070,12882.77730,50.099690,МЕ/мл,5,Очень высокий
E5 - Перхоть собаки,857.19345,503.00005,1.956111,МЕ/мл,2,Низкий
M6 - Alternaria alternata,284.74900,0.00000,0.000000,МЕ/мл,0,Клинически не значимый
T2 - Ольха серая / Alnus incana,1145.41560,791.22220,3.076975,МЕ/мл,2,Низкий
T3 - Береза белая / Betula verrucosa,741.97120,387.77780,1.508025,МЕ/мл,2,Низкий
T4 - Лещина / орешник / Corylus avellana,901.86010,547.66670,2.129815,МЕ/мл,2,Низкий
T14 - Тополь / Populus deltoides,1056.97120,702.77780,2.733025,МЕ/мл,2,Низкий
W1 - Амброзия полыннолистная / Ambrosia elatior,495.63785,141.44445,0.550062,МЕ/мл,1,Очень низкий
W6 - Полынь обыкновенная / Artemisia vulgaris,497.30455,143.11115,0.556543,МЕ/мл,1,Очень низкий
W15 - Лебеда / Atriplex lentiformis,456.30455,102.11115,0.397099,МЕ/мл,1,Очень низкий
G3 - Ежа сборная / Dactylis glomerata,337.30455,0.00000,0.000000,МЕ/мл,0,Клинически не значимый
