Position,Allergen,Code,Raw_Values,Processed_Mean,Corrected_Signal,Concentration_IU_ml,Units,Level,Classification
1,"Клещевой аллерген домашней пыли / Dermatophagoides pteronyssinus",D1,"446.8601;473.3045;508.8601;501.5268",482.63787500,135.05557500,0.525216,МЕ/мл,2,Низкий
2,"Эпителий кошки",E1,"12772.8604;12924.415;13549.5264;14109.749",13339.13770000,12991.55540000,50.522715,МЕ/мл,5,Очень высокий
3,"Перхоть собаки",E5,"832.8601;833.3046;881.0823;959.749",876.74900000,529.16670000,2.057870,МЕ/мл,3,Средний
4,"Alternaria alternata (Плесень)",M6,"278.1934;283.749;285.749;310.4156",289.52675000,0.00000000,0.000000,МЕ/мл,0,Клинически не значимый
5,"Ольха серая / Alnus incana",T2,"993.0823;1050.86;1239.9712;1356.86",1160.19337500,812.61107500,3.160154,МЕ/мл,3,Средний
6,"Береза белая / Betula verrucosa",T3,"639.3046;767.5268;735.0823;748.8601",722.69345000,375.11115000,1.458766,МЕ/мл,3,Средний
7,"Лещина / орешник / Corylus avellana",T4,"779.5268;919.0823;884.6379;962.4156",886.41565000,538.83335000,2.095463,МЕ/мл,3,Средний
8,"Тополь / Populus deltoides",T14,"853.749;985.749;1142.6378;1128.1934",1027.58230000,680.00000000,2.644444,МЕ/мл,3,Средний
9,"Амброзия полыннолистная / Ambrosia elatior",W1,"449.3045;490.4156;500.8601;537.3046",494.47120000,146.88890000,0.571235,МЕ/мл,2,Низкий
10,"Полынь обыкновенная / Artemisia vulgaris",W6,"481.749;495.5268;514.6379;499.0823",497.74900000,150.16670000,0.583982,МЕ/мл,2,Низкий
11,"Лебеда / Atriplex lentiformis",W15,"423.9712;458.6379;453.9712;503.5268",460.02677500,112.44447500,0.437284,МЕ/мл,1,Очень низкий
12,"Ежа сборная / Dactylis glomerata",G3,"25701.3047;26361.75;25213.3047;27168.6387",26111.24952500,25763.66722500,100.192039,МЕ/мл,6,Исключительно высокий
13,"Овсянница луговая / Festuca elatior",G4,"13448.6377;14479.5264;15531.3047;16658.6387",15029.52687500,14681.94457500,57.096451,МЕ/мл,5,Очень высокий
14,"Райграс пастбищный / Lolium perenne",G5,"20541.3047;20753.75;20425.5273;22391.5273",21028.02732500,20680.44502500,80.423953,МЕ/мл,6,Исключительно высокий
15,"Тимофеевка луговая / Phleum pratense",G6,"8518.1934;8425.082;8616.6377;9005.082",8641.24877500,8293.66647500,32.253147,МЕ/мл,5,Очень высокий
16,"Мятлик луговой / Poa pratensis",G8,"19569.5273;18416.8613;22903.5273;23874.1934",21191.02732500,20843.44502500,81.057842,МЕ/мл,6,Исключительно высокий
17,"Бухарник шерстистый / Holcus lanatus",G13,"4088.4158;4293.9712;4843.5264;5133.3042",4589.80440000,4242.22210000,16.497530,МЕ/мл,4,Высокий
18,"Береза, рекомбинантный компонент Bet v1",Bet v1,"346.4156;379.5268;514.6379;486.1934",431.69342500,84.11112500,0.327099,МЕ/мл,0,Клинически не значимый
19,"Береза, рекомбинантный компонент Bet v2",Bet v2,"326.6379;317.749;343.5268;745.3046",329.30456667,0.00000000,0.000000,МЕ/мл,0,Клинически не значимый
20,"Береза, рекомбинантный компонент Bet v4",Bet v4,"311.0823;355.0823;361.5268;381.3045",352.24897500,4.66667500,0.018148,МЕ/мл,0,Клинически не значимый
